# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 28 09:47:48 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,ra,dec,sy_dist,sy_gaiamag
39,6 Lyn b,6 Lyn,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,919.86000000000,2.0280000000,13.40000000,1.20000000,597.83523357,1.88100000,Msini,0.042000,,,K0 IV,4941.00,4.940000,1.320000,-0.1700,[Fe/H],3.160000,97.6960311,58.1611753,54.65990000,5.6068600
40,61 Vir b,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,4.21500000000,0.0502010000,2.11000000,0.18800000,5.10000000,0.01600000,Msini,0.120000,,,G5 V,5577.00,0.963000,0.942000,-0.0100,[Fe/H],4.340000,199.5964550,-18.3157745,8.50332000,4.5405200
41,61 Vir c,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,38.02100000000,0.2175000000,4.46000000,0.39800000,18.20000000,0.05700000,Msini,0.140000,,,G5 V,5577.00,0.963000,0.942000,-0.0100,[Fe/H],4.340000,199.5964550,-18.3157745,8.50332000,4.5405200
42,61 Vir d,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,123.01000000000,0.4760000000,5.11000000,0.45600000,22.90000000,0.07200000,Msini,0.350000,,,G5 V,5577.00,0.963000,0.942000,-0.0100,[Fe/H],4.340000,199.5964550,-18.3157745,8.50332000,4.5405200
43,7 CMa b,7 CMa,1,2,0,Radial Velocity,2011,Anglo-Australian Telescope,735.10000000000,1.7580000000,13.40000000,1.20000000,587.98550000,1.85000000,Msin(i)/sin(i),0.060000,,,K1III(+M),4826.00,4.870000,1.340000,0.2100,[Fe/H],3.190000,99.1712760,-19.2561808,19.81010000,3.6785300
44,7 CMa c,7 CMa,1,2,0,Radial Velocity,2019,Multiple Observatories,996.00000000000,2.1530000000,13.90000000,1.24000000,276.51210000,0.87000000,Msin(i)/sin(i),0.080000,,,K1III(+M),4826.00,4.870000,1.340000,0.2100,[Fe/H],3.190000,99.1712760,-19.2561808,19.81010000,3.6785300
45,70 Vir b,70 Vir,1,1,0,Radial Velocity,1996,Lick Observatory,116.68800000000,0.4810000000,12.60000000,1.13000000,2380.45000000,7.49000000,Mass,0.398800,,,G5V,5495.00,1.890000,1.090000,-0.0900,[Fe/H],3.950000,202.1064898,13.7763085,17.90110000,4.7617800
46,75 Cet b,75 Cet,2,2,0,Radial Velocity,2012,Okayama Astrophysical Observatory,696.62000000000,1.9120000000,13.30000000,1.18000000,787.89662095,2.47900000,Msini,0.093000,,,G3 III,4809.00,10.380000,1.920000,0.1000,[Fe/H],2.690000,38.0391598,-1.0350269,82.96130000,5.0934300
47,75 Cet c,75 Cet,2,2,0,Radial Velocity,2023,Okayama Astrophysical Observatory,2051.62000000000,3.9290000000,13.90000000,1.24000000,289.85950718,0.91200000,Msini,0.023000,,,G3 III,4809.00,10.380000,1.920000,0.1000,[Fe/H],2.690000,38.0391598,-1.0350269,82.96130000,5.0934300
48,8 UMi b,8 UMi,1,1,0,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.31000000000,0.4620000000,13.50000000,1.20000000,524.41687155,1.65000000,Msini,0.062000,,,K0,4847.00,10.730000,1.510000,-0.0300,[m/H],2.570000,224.2016850,74.9009379,162.55200000,6.5589600
49,81 Cet b,81 Cet,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,1005.57000000000,2.1040000000,13.10000000,1.17000000,1051.05854195,3.30700000,Msini,0.037000,,,G5 III,4734.00,11.210000,1.230000,-0.1100,[Fe/H],2.410000,39.4243555,-3.3963607,101.26000000,5.3758800
50,91 Aqr b,91 Aqr,3,1,0,Radial Velocity,2013,Lick Observatory,181.40000000000,0.7000000000,13.10000000,1.17000000,1017.00000000,3.20000000,Msini,0.027000,,,K0 III,4665.00,11.000000,1.400000,-0.0300,[Fe/H],2.520000,348.9745031,-9.0878076,44.03040000,3.9531100
51,AB Aur b,AB Aur,1,1,0,Imaging,2022,Subaru Telescope,,93.9000000000,12.50000000,1.12000000,2860.45566300,9.00000000,Mass,0.400000,,,,9770.00,2.958870,2.400000,,,3.774110,73.9410446,30.5510888,162.12700000,7.0785400
52,AB Pic b,AB Pic,1,1,0,Imaging,2005,Paranal Observatory,,260.0000000000,12.30000000,1.10000000,4290.50000000,13.50000000,Mass,,,,K2 V,5285.00,0.999394,0.900000,0.0400,[Fe/H],4.530000,94.8039208,-58.0541184,50.04750000,8.8378000
53,AF Lep b,AF Lep,1,1,0,Imaging,2023,Paranal Observatory,8905.00000000000,8.9960000000,13.00000000,1.16000000,1147.36054927,3.61000000,Mass,0.015000,,1400.00,F8,6140.00,1.250000,1.218000,0.1900,[Fe/H],4.400000,81.7699216,-11.9011752,26.85640000,6.1864400
54,AT2021ueyL b,AT2021ueyL,1,1,0,Microlensing,2025,Multiple Observatories,4168.69000000000,4.0100000000,13.60000000,1.22000000,425.89006538,1.34000000,Mass,,,,M V,3680.00,,0.490000,,,,324.5450417,26.4665694,1040.00000000,
55,AU Mic b,AU Mic,1,4,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46344600000,0.0700000000,4.79000000,0.42733591,8.99000000,0.02828570,Mass,0.070000,21.2000,554.80,M1 V,3540.00,0.862000,0.635000,0.0100,[Fe/H],4.370000,311.2911369,-31.3424500,9.72210000,7.8403800
56,AU Mic c,AU Mic,1,4,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85902300000,0.1190000000,2.79000000,0.24890756,14.46000000,0.04549625,Mass,0.180000,7.3000,424.70,M1 V,3540.00,0.862000,0.635000,0.0100,[Fe/H],4.370000,311.2911369,-31.3424500,9.72210000,7.8403800
57,AU Mic d,AU Mic,1,4,0,Transit Timing Variations,2023,Multiple Observatories,12.73596000000,,1.02000000,0.09120000,1.05300000,0.00331000,Mass,0.003050,,,M1 V,3678.00,0.744000,0.510000,0.2300,[Fe/H],4.404000,311.2911369,-31.3424500,9.72210000,7.8403800
58,AU Mic e,AU Mic,1,4,0,Radial Velocity,2025,Mauna Kea Observatory,33.11000000000,,4.87000000,0.43400000,21.10000000,0.06638802,Mass,,,,M1 V,3665.00,0.820000,0.600000,0.1200,[M/H],4.520000,311.2911369,-31.3424500,9.72210000,7.8403800
59,BD+03 2562 b,BD+03 2562,1,1,0,Radial Velocity,2017,Multiple Observatories,481.90000000000,1.3000000000,12.70000000,1.13000000,2034.11200000,6.40000000,Msini,0.200000,,,,4095.00,32.350000,1.140000,-0.7100,[Fe/H],1.890000,177.5647268,2.7601075,1070.63000000,8.9977000
60,BD+05 4868 A b,BD+05 4868 A,2,1,0,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),1.27186900000,0.0208000000,,,6.20000000,0.01950738,Mass,,,1820.00,K V,4596.00,0.690000,0.700000,-0.0500,[Fe/H],4.600000,326.8614036,6.6053185,43.56870000,9.8415200
61,BD+14 4559 b,BD+14 4559,1,1,0,Radial Velocity,2009,McDonald Observatory,268.94000000000,0.7800000000,13.80000000,1.23000000,330.54320000,1.04000000,Msini,0.290000,,,K2 V,4864.00,0.860000,0.490000,0.1700,[Fe/H],4.260000,318.4010002,14.6893834,49.35200000,9.3510800
62,BD+15 2375 b,BD+15 2375,1,1,0,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22000000000,0.5760000000,13.80000000,1.23000000,337.21763000,1.06100000,Msini,0.001000,,,G5,4649.00,8.950000,1.080000,-0.2200,[Fe/H],2.610000,176.4820239,14.6163182,768.04500000,9.9918000
63,BD+15 2940 b,BD+15 2940,1,1,0,Radial Velocity,2013,McDonald Observatory,137.48000000000,0.5390000000,13.70000000,1.23000000,352.78000000,1.11000000,Msini,0.260000,,,K0,4796.00,14.700000,1.100000,0.2800,[Fe/H],2.800000,240.0956400,15.5467507,426.42000000,8.7178000
64,BD+20 2457 b,BD+20 2457,1,2,0,Radial Velocity,2009,McDonald Observatory,379.63000000000,1.4500000000,12.10000000,1.08000000,6807.63000000,21.42000000,Msini,0.150000,,,K2 II,4137.00,49.000000,2.800000,-1.0000,[Fe/H],1.510000,154.1867820,19.8912626,1539.71000000,9.2268400
65,BD+20 2457 c,BD+20 2457,1,2,0,Radial Velocity,2009,McDonald Observatory,621.99000000000,2.0100000000,12.40000000,1.10000000,3963.17000000,12.47000000,Msini,0.180000,,,K2 II,4137.00,49.000000,2.800000,-1.0000,[Fe/H],1.510000,154.1867820,19.8912626,1539.71000000,9.2268400
66,BD+20 274 b,BD+20 274,1,1,0,Radial Velocity,2012,McDonald Observatory,578.20000000000,1.3000000000,13.00000000,1.16000000,1334.88600000,4.20000000,Msini,0.210000,,,K5 III,4296.00,17.300000,0.800000,-0.4600,[Fe/H],1.990000,25.9203179,21.0052692,1322.51000000,8.9161300
67,BD+20 594 b,BD+20 594,1,1,0,Transit,2016,K2,41.68550000000,0.2410000000,2.57807000,0.23000000,22.24810000,0.07000000,Mass,0.000000,,546.00,G,5766.00,1.080000,1.670000,-0.1500,[Fe/H],4.500000,53.6511231,20.5990205,179.46100000,10.8644000
68,BD+37 3172 b,BD+37 3172,1,1,0,Radial Velocity,2023,McDonald Observatory,1887.76000000000,4.6500000000,12.40000000,1.11000000,3368.98111420,10.60000000,Msini,0.590000,,,,4500.00,50.240000,3.750000,-0.0300,[Fe/H],1.500000,278.8155071,38.1153886,454.25100000,8.8477200
69,BD+42 2315 b,BD+42 2315,1,1,0,Radial Velocity,2023,McDonald Observatory,123.05000000000,0.5400000000,14.20000000,1.26000000,174.80562385,0.55000000,Msini,0.730000,,,,4500.00,17.850000,1.380000,-0.2000,[Fe/H],2.000000,187.5887597,41.2695674,610.71500000,9.4303600
70,BD+45 564 b,BD+45 564,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,307.88000000000,0.8300000000,13.60000000,1.21000000,432.24663352,1.36000000,Msini,0.120000,,,K1,5004.00,0.813064,0.810000,-0.0900,[Fe/H],4.220000,32.9470485,45.9242187,53.62200000,9.4126600
71,BD+48 738 b,BD+48 738,1,1,0,Radial Velocity,2011,McDonald Observatory,392.60000000000,1.0000000000,13.90000000,1.24000000,289.22530000,0.91000000,Msini,0.200000,,,K0 III,4414.00,11.000000,0.740000,-0.2000,[Fe/H],2.240000,40.7102869,49.5869395,871.49300000,8.6556900
72,BD+48 740 b,BD+48 740,1,1,0,Radial Velocity,2018,Multiple Observatories,733.00000000000,1.7000000000,13.50000000,1.20000000,540.31100000,1.70000000,Msini,0.760000,,,K3 III,4534.00,10.330000,1.090000,-0.1300,[Fe/H],2.480000,40.7425426,48.9300579,666.58900000,8.2644900
73,BD+49 828 b,BD+49 828,1,1,0,Radial Velocity,2015,McDonald Observatory,2590.00000000000,4.2000000000,13.50000000,1.21000000,508.50000000,1.60000000,Msini,0.350000,,,K0,4943.00,7.600000,1.520000,-0.1900,[Fe/H],2.850000,45.6406187,49.7299481,442.04200000,9.0285100
74,BD+55 362 b,BD+55 362,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,265.59000000000,0.7800000000,14.00000000,1.25000000,228.83645304,0.72000000,Msini,0.270000,,,K3,5012.00,0.896193,0.909000,0.1800,[Fe/H],4.090000,23.9636676,56.6982282,52.56970000,9.1530500
75,BD+60 1417 b,BD+60 1417,1,1,0,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,,1662.0000000000,14.68376472,1.31000000,4767.42610500,15.00000000,Mass,,,1303.00,K0,4993.00,0.797000,1.000000,,,4.553900,190.8875453,60.0143636,44.95430000,9.1743900
76,BD+63 1405 b,BD+63 1405,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,1198.48000000000,2.0600000000,12.40000000,1.11000000,3305.41543280,10.40000000,Mass,0.880000,,,K0,5000.00,0.804724,0.816000,-0.0900,[Fe/H],4.200000,271.3979337,63.6700064,38.04730000,8.7050000
77,BD-06 1339 b,BD-06 1339,1,2,0,Radial Velocity,2013,La Silla Observatory,3.87280000000,0.0428000000,,,1523.03372634,4.79200000,Mass,0.000000,,,K7/M0 V,4324.00,0.686355,0.700000,-0.1400,[Fe/H],4.740000,88.2511811,-5.9963378,20.26950000,9.1067700
78,BD-06 1339 c,BD-06 1339,1,2,0,Radial Velocity,2013,La Silla Observatory,125.94000000000,0.4350000000,8.38000000,0.74700000,53.00000000,0.17000000,Msini,0.310000,,,K7/M0 V,4324.00,0.686355,0.700000,-0.1400,[Fe/H],4.740000,88.2511811,-5.9963378,20.26950000,9.1067700
